idx,chars,bert_tokens,expected_tokens,fpga_tokens,punct_tokens,match,cpu_core_us,cpu_core_min_us,cpu_core_max_us,cpu_core_jitter_us,cpu_ovh_us,cpu_ovh_jitter_us,fpga_cycles,fpga_us
0,16,5,5,5,0,1,11.8,11.4,61.3,49.9,23.9,155.3,256,2.56
1,19,4,4,4,0,1,11.4,11.1,103.4,92.3,23.4,216.4,298,2.98
2,14,3,3,3,0,1,9.2,8.8,163.3,154.5,21.3,95.2,277,2.77
3,16,5,5,5,0,1,10.9,10.6,86.4,75.8,23.1,304.1,375,3.75
4,26,6,4,4,2,1,13.5,13.0,268.5,255.5,25.6,205.1,391,3.91
5,19,5,5,5,0,1,11.7,11.3,195.5,184.2,24.4,233.7,388,3.88
6,44,10,9,9,1,1,20.4,19.8,260.0,240.2,33.1,342.8,661,6.61
7,94,22,20,20,2,1,37.0,35.9,712.4,676.5,51.2,238.6,1492,14.92
8,62,23,18,18,5,1,29.2,28.2,223.6,195.4,44.5,424.3,1106,11.06
9,86,15,14,14,1,1,31.6,30.6,393.1,362.5,45.9,603.1,1207,12.07
10,102,22,20,20,2,1,38.1,36.8,342.8,306.0,52.6,278.5,1559,15.59
11,98,19,16,16,3,1,34.8,34.0,164.1,130.1,49.0,274.5,1415,14.15
12,317,60,53,53,7,1,96.1,93.4,348.7,255.3,114.5,684.6,4791,47.91
13,314,60,54,54,6,1,95.0,92.1,961.3,869.2,112.5,601.0,4660,46.6
14,255,46,41,41,5,1,80.7,78.2,360.5,282.3,98.9,1065.6,3523,35.23
15,232,56,46,46,10,1,80.3,76.5,422.0,345.5,96.9,787.9,3534,35.34
16,259,46,42,42,4,1,81.2,78.5,391.5,313.0,98.1,433.9,3881,38.81
17,251,53,47,47,6,1,81.9,79.1,404.9,325.8,100.1,8704.7,3938,39.38
18,1125,221,192,192,29,1,337.9,324.9,1281.2,956.3,361.3,1030.2,16382,163.82
19,777,148,131,131,17,1,231.5,222.9,810.6,587.7,251.1,513.2,10979,109.79
20,1007,190,173,173,17,1,303.0,291.2,901.9,610.7,325.8,747.2,15189,151.89
21,13,3,3,3,0,1,9.4,9.1,315.4,306.3,21.1,108.0,217,2.17
22,14,2,2,2,0,1,8.9,8.5,87.9,79.4,20.5,156.4,217,2.17
23,16,3,3,3,0,1,10.0,9.7,202.4,192.7,21.7,154.1,250,2.5
24,15,4,3,3,1,1,10.3,9.9,240.9,231.0,22.1,179.8,238,2.38
25,14,3,3,3,0,1,9.6,9.2,173.6,164.4,21.2,265.3,220,2.2
26,12,4,3,3,1,1,9.6,9.3,186.9,177.6,21.2,205.5,190,1.9
27,63,16,15,14,1,0,26.8,26.0,234.1,208.1,40.4,145.8,1069,10.69
28,68,14,12,12,2,1,27.4,26.8,107.7,80.9,41.1,251.4,973,9.73
29,53,16,11,11,5,1,23.3,22.5,140.4,117.9,36.7,314.1,811,8.11
30,64,14,12,12,2,1,25.9,25.2,273.3,248.1,39.2,227.0,922,9.22
