idx,chars,bert_tokens,fpga_expected_tokens,punct_tokens,core_median_us,core_min_us,core_max_us,core_std_us,core_p99_us,core_jitter_us,ovh_median_us,ovh_min_us,ovh_max_us,ovh_std_us,ovh_p99_us,ovh_jitter_us,bert_ids,fpga_expected_ids
0,16,5,5,0,11.8,11.4,61.3,1.923,19.6,49.9,23.9,22.9,178.2,5.628,52.3,155.3,2129 2000 5495 1037 5495,2129 2000 5495 1037 5495
1,19,4,4,0,11.4,11.1,103.4,3.317,24.0,92.3,23.4,22.3,238.7,7.712,55.1,216.4,4633 1999 2047 2259,4633 1999 2047 2259
2,14,3,3,0,9.2,8.8,163.3,3.729,18.7,154.5,21.3,20.3,115.5,5.321,51.3,95.2,3945 2397 9407,3945 2397 9407
3,16,5,5,0,10.9,10.6,86.4,2.716,22.7,75.8,23.1,21.9,326.0,7.584,54.4,304.1,5310 4748 10020 8833 2378,5310 4748 10020 8833 2378
4,26,6,4,2,13.5,13.0,268.5,4.593,27.1,255.5,25.6,24.5,229.6,9.275,62.3,205.1,2307 4031 1010 2573 2092 999,2307 4031 2573 2092
5,19,5,5,0,11.7,11.3,195.5,4.096,22.6,184.2,24.4,23.1,256.8,11.252,63.8,233.7,2707 1996 4773 8043 6299,2707 1996 4773 8043 6299
6,44,10,9,1,20.4,19.8,260.0,6.902,44.3,240.2,33.1,31.5,374.3,12.342,72.4,342.8,1996 4248 2829 4419 14523 2058 1996 13971 3899 1012,1996 4248 2829 4419 14523 2058 1996 13971 3899
7,94,22,20,2,37.0,35.9,712.4,11.475,72.3,676.5,51.2,49.4,288.0,12.456,105.0,238.6,1045 4149 2023 12586 2121 2197 2733 1998 1996 5013 5296 2041 2006 1996 2034 2224 1012 4468 2012 2035 5366 1012,1045 4149 2023 12586 2121 2197 2733 1998 1996 5013 5296 2041 2006 1996 2034 2224 4468 2012 2035 5366
8,62,23,18,5,29.2,28.2,223.6,12.044,79.1,195.4,44.5,41.9,466.2,17.186,101.7,424.3,7561 1014 2595 2509 2497 4434 2051 5833 2012 17613 1012 16923 1012 1015 1012 1019 1024 4008 2509 2044 11910 5244 1012,7561 1014 2595 2509 2497 4434 2051 5833 2012 17613 16923 1015 1019 4008 2509 2044 11910 5244
9,86,15,14,1,31.6,30.6,393.1,12.404,71.6,362.5,45.9,43.8,646.9,18.18,108.8,603.1,2425 2033 1037 8257 2055 1037 20273 2040 2515 2025 3305 8051 10984 14679 1012,2425 2033 1037 8257 2055 1037 20273 2040 2515 2025 3305 8051 10984 14679
10,102,22,20,2,38.1,36.8,342.8,9.249,77.1,306.0,52.6,50.8,329.3,11.04,103.7,278.5,2000 3183 2009 2089 5142 1010 1045 2572 3015 2000 1999 15549 2890 2055 1996 2330 2597 1999 1996 3330 2533 1012,2000 3183 2009 2089 5142 1045 2572 3015 2000 1999 15549 2890 2055 1996 2330 2597 1999 1996 3330 2533
11,98,19,16,3,34.8,34.0,164.1,6.687,70.3,130.1,49.0,47.0,321.5,13.563,109.6,274.5,2291 5060 1024 5115 6032 2097 5258 2012 7090 1012 5987 2039 2000 2702 2781 1997 2091 7292 1012,2291 5060 5115 6032 2097 5258 2012 7090 5987 2039 2000 2702 2781 1997 2091 7292
12,317,60,53,7,96.1,93.4,348.7,17.642,189.6,255.3,114.5,109.8,794.4,26.837,228.0,684.6,1996 19204 17629 6194 7953 3793 2011 9844 7060 2114 1037 3653 3207 23460 2094 16188 1012 1999 2023 7375 1010 1996 20505 6493 1011 2674 5656 2003 2109 1010 12725 2008 2691 4942 22104 2024 3188 25090 5422 1012 2023 3921 13416 1996 3452 5537 3091 1010 2029 2003 4187 2005 13248 2397 9407 1999 10938 2121 4275 1012,1996 19204 17629 6194 7953 3793 2011 9844 7060 2114 1037 3653 3207 23460 2094 16188 1999 2023 7375 1996 20505 6493 2674 5656 2003 2109 12725 2008 2691 4942 22104 2024 3188 25090 5422 2023 3921 13416 1996 3452 5537 3091 2029 2003 4187 2005 13248 2397 9407 1999 10938 2121 4275
13,314,60,54,6,95.0,92.1,961.3,26.208,202.7,869.2,112.5,108.3,709.3,23.582,217.7,601.0,2057 2556 1037 3117 4294 2005 8051 1011 14613 3019 2653 6364 1012 2011 3048 1996 4942 18351 19204 3989 3357 2000 2019 1042 26952 2050 1010 2057 11826 1996 3151 17368 5835 18278 1012 6388 3463 10580 1037 2871 2595 7620 1999 2083 18780 2005 3115 2394 13058 6525 1010 2096 15077 2625 2084 2321 2860 1997 2373 1012,2057 2556 1037 3117 4294 2005 8051 14613 3019 2653 6364 2011 3048 1996 4942 18351 19204 3989 3357 2000 2019 1042 26952 2050 2057 11826 1996 3151 17368 5835 18278 6388 3463 10580 1037 2871 2595 7620 1999 2083 18780 2005 3115 2394 13058 6525 2096 15077 2625 2084 2321 2860 1997 2373
14,255,46,41,5,80.7,78.2,360.5,17.641,154.9,282.3,98.9,94.3,1159.9,35.917,228.3,1065.6,6203 2136 1010 1996 9046 10813 5115 2005 5958 2038 2042 2333 2000 6928 2851 2000 3499 2005 3176 8346 5604 1012 3531 5676 2035 4139 11186 2024 8182 2011 9432 1012 2065 2017 2031 2151 10851 3314 1010 6415 2033 1999 1996 2622 27080 1012,6203 2136 1996 9046 10813 5115 2005 5958 2038 2042 2333 2000 6928 2851 2000 3499 2005 3176 8346 5604 3531 5676 2035 4139 11186 2024 8182 2011 9432 2065 2017 2031 2151 10851 3314 6415 2033 1999 1996 2622 27080
