idx,chars,tokens,fabric_cycles,input_cycles,fpga_ids
0,16,5,256,17,2129 2000 5495 1037 5495 
1,19,4,298,20,4633 1999 2047 2259 
2,14,3,277,15,3945 2397 9407 
3,16,5,375,17,5310 4748 10020 8833 2378 
4,26,4,391,27,2307 4031 2573 2092 
5,19,5,388,20,2707 1996 4773 8043 6299 
6,44,9,661,45,1996 4248 2829 4419 14523 2058 1996 13971 3899 
7,94,20,1492,95,1045 4149 2023 12586 2121 2197 2733 1998 1996 5013 5296 2041 2006 1996 2034 2224 4468 2012 2035 5366 
8,62,18,1106,63,7561 1014 2595 2509 2497 4434 2051 5833 2012 17613 16923 1015 1019 4008 2509 2044 11910 5244 
9,86,14,1207,87,2425 2033 1037 8257 2055 1037 20273 2040 2515 2025 3305 8051 10984 14679 
10,102,20,1559,103,2000 3183 2009 2089 5142 1045 2572 3015 2000 1999 15549 2890 2055 1996 2330 2597 1999 1996 3330 2533 
11,98,16,1415,99,2291 5060 5115 6032 2097 5258 2012 7090 5987 2039 2000 2702 2781 1997 2091 7292 
12,317,53,4791,897,1996 19204 17629 6194 7953 3793 2011 9844 7060 2114 1037 3653 3207 23460 2094 16188 1999 2023 7375 1996 20505 6493 2674 5656 2003 2109 12725 2008 2691 4942 22104 2024 3188 25090 5422 2023 3921 13416 1996 3452 5537 3091 2029 2003 4187 2005 13248 2397 9407 1999 10938 2121 4275 
13,314,54,4660,792,2057 2556 1037 3117 4294 2005 8051 14613 3019 2653 6364 2011 3048 1996 4942 18351 19204 3989 3357 2000 2019 1042 26952 2050 2057 11826 1996 3151 17368 5835 18278 6388 3463 10580 1037 2871 2595 7620 1999 2083 18780 2005 3115 2394 13058 6525 2096 15077 2625 2084 2321 2860 1997 2373 
14,255,41,3523,256,6203 2136 1996 9046 10813 5115 2005 5958 2038 2042 2333 2000 6928 2851 2000 3499 2005 3176 8346 5604 3531 5676 2035 4139 11186 2024 8182 2011 9432 2065 2017 2031 2151 10851 3314 6415 2033 1999 1996 2622 27080 
15,232,46,3534,233,16798 2575 5757 2538 2403 3590 5890 11582 2291 2152 3638 8192 11156 2006 13045 7309 6021 13044 3074 13330 23119 1015 1016 18259 3531 8080 1996 9324 2740 24923 2005 2582 2019 9626 11983 2832 14255 2094 17332 2692 2003 1996 3078 12731 14277 14778 
16,259,42,3881,260,1996 4518 3006 2387 1037 3278 2091 22299 2651 2004 6627 6661 22088 11368 2098 2206 1996 10738 8874 2350 29299 3333 6022 10060 1996 5409 2154 1997 6202 2023 4284 18288 6592 1996 5285 10450 18605 2097 3613 2046 2279 2733 
17,251,47,3938,252,2017 2024 2019 9932 3353 2881 2000 2393 5198 2139 8569 2290 3375 8051 1998 4007 3001 3073 3154 9530 18380 6998 2302 2534 14194 19185 8866 2065 2017 2079 2025 2113 1996 3437 2110 2061 12045 2467 6434 3642 1055 3490 29519 2015 1999 3115 4289 
18,1125,192,16382,12632,1996 2458 1997 2715 2784 4083 7705 2015 2038 6233 3724 15078 7372 2877 2000 1037 5835 18278 1999 2951 17463 3217 9623 7741 7145 1996 17368 8971 2035 3793 3671 3989 14541 1998 4942 18351 12375 2174 2004 2944 28937 10898 2031 14613 2349 2000 4056 8051 1996 17368 19204 17629 2038 2468 1037 16124 3120 1997 2397 9407 1999 2023 3259 2057 8849 1037 8051 9358 7277 3921 2125 18570 1996 17531 2063 24880 3940 17181 9896 2000 2019 1042 26952 2050 1996 2640 21852 1037 13117 2094 4294 2073 1037 10713 2110 3698 27404 1996 14932 2839 5460 1037 23325 2241 9206 2298 6279 10663 2015 1996 6493 9844 19204 1999 5377 2051 2000 5047 1996 3132 2006 9090 3638 1996 16188 2003 24110 23355 1998 4600 10975 9816 2094 2000 9279 2069 1996 2327 3590 2199 2087 6976 19204 2015 2151 2041 1997 16188 3494 2991 2067 2000 24880 2504 15066 2023 5670 2025 2069 2489 2015 2039 17368 12709 2005 4646 7961 2021 2036 21586 28283 25300 10074 2397 9407 1037 10232 9095 2005 2613 2051 11058 5097 2107 2004 2376 14193 1998 9123 4512 2389 6074 
